MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367490050,2020-01-01T00:00:08,29.73029,-93.87083,0.0,245.0,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:01:18,29.73033,-93.87081,0.0,246.3,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:02:19,29.73032,-93.87086,0.0,247.6,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:03:29,29.73022,-93.87081,0.0,261.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:04:39,29.73029,-93.87081,0.0,268.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:05:49,29.73024,-93.87081,0.0,266.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:06:58,29.73031,-93.87084,0.0,283.6,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:08:08,29.73029,-93.87081,0.0,285.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:09:18,29.73027,-93.8708,0.0,282.0,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:10:28,29.73025,-93.87087,0.0,276.2,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:11:59,29.73031,-93.87083,0.0,275.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:13:08,29.7303,-93.87082,0.0,275.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:14:18,29.73026,-93.87077,0.0,276.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:15:19,29.7303,-93.87086,0.0,278.3,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:16:28,29.73031,-93.87081,0.0,279.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:17:39,29.73026,-93.87077,0.0,272.9,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:19:09,29.73028,-93.87084,0.0,286.2,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:20:38,29.73031,-93.87084,0.0,285.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:22:09,29.73033,-93.87085,0.0,279.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:23:38,29.73028,-93.87078,0.0,279.2,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:25:09,29.7303,-93.8708,0.0,274.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:26:29,29.73031,-93.87082,0.0,275.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:27:38,29.73033,-93.87081,0.0,277.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:29:29,29.73031,-93.87079,0.0,273.6,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:30:38,29.73029,-93.8708,0.0,283.7,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:31:48,29.73026,-93.87085,0.0,294.2,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:33:59,29.73032,-93.87088,0.0,291.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:35:39,29.73029,-93.87082,0.0,284.2,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:37:08,29.73045,-93.87093,0.0,280.0,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:38:39,29.73039,-93.87086,0.0,272.9,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:39:58,29.73033,-93.87092,0.0,277.2,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:41:58,29.73038,-93.87093,0.0,271.0,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:44:48,29.73033,-93.8709,0.0,268.7,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:46:48,29.7303,-93.87086,0.0,260.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:48:18,29.73026,-93.87077,0.0,257.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:49:39,29.73038,-93.87095,0.0,256.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:51:39,29.73034,-93.87088,0.0,247.3,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:52:49,29.73039,-93.87094,0.0,247.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:56:09,29.73037,-93.87093,0.0,240.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:57:28,29.73037,-93.87091,0.0,242.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:58:39,29.73035,-93.87087,0.0,240.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T00:59:49,29.7303,-93.87087,0.0,233.9,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:00:09,29.73035,-93.87093,0.0,235.7,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:01:18,29.73037,-93.87089,0.0,235.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:02:28,29.73023,-93.87095,0.0,235.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:03:39,29.73014,-93.87099,0.0,235.3,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:04:48,29.7303,-93.87086,0.0,234.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:06:08,29.73025,-93.87093,0.0,235.6,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:07:38,29.73025,-93.87097,0.0,232.4,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:08:48,29.73033,-93.87084,0.0,232.5,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:10:08,29.73031,-93.87079,0.0,231.0,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:11:18,29.73018,-93.87096,0.0,235.1,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:12:28,29.73022,-93.87089,0.0,233.2,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:13:38,29.73024,-93.87088,0.0,232.4,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:14:48,29.73021,-93.87093,0.0,235.3,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:16:38,29.73028,-93.87089,0.0,232.8,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:18:18,29.73026,-93.87088,0.0,239.6,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:19:39,29.7303,-93.8709,0.0,236.7,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:20:58,29.73029,-93.87085,0.0,238.7,511.0,VB-10;000,,WDF7972,90.0
367490050,2020-01-01T01:22:08,29.73034,-93.87084,0.0,241.0,511.0,VB-10;000,,WDF7972,90.0
