MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
495270931,2020-01-01T00:00:00,26.08925,-80.1165,0.4,67.9,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:01:11,26.09014,-80.11645,1.5,352.6,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:02:20,26.09037,-80.11644,0.5,20.6,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:03:31,26.09042,-80.11634,0.5,88.1,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:04:32,26.09038,-80.11624,0.3,124.8,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:05:42,26.09031,-80.11597,2.9,76.3,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:06:52,26.09027,-80.11554,0.9,120.3,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:08:02,26.09014,-80.11544,0.5,181.4,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:09:10,26.09005,-80.11544,0.3,176.1,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:10:20,26.09002,-80.11521,4.5,62.2,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:11:21,26.09031,-80.11457,1.2,69.4,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:12:40,26.09038,-80.11423,0.7,74.5,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:13:51,26.09044,-80.11404,0.4,75.5,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:15:01,26.09143,-80.11356,1.9,24.3,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:16:10,26.09185,-80.11324,1.3,23.8,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:17:21,26.09208,-80.11318,0.4,10.6,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:18:32,26.09214,-80.1132,0.1,5.9,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:19:40,26.09241,-80.11322,3.1,34.1,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:21:40,26.09302,-80.10957,6.5,86.5,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:22:41,26.09318,-80.10757,6.5,88.8,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:24:20,26.093,-80.10401,7.9,97.0,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:26:10,26.09273,-80.0996,7.7,91.9,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:27:31,26.09249,-80.09676,7.4,85.5,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:28:51,26.09345,-80.09383,8.9,77.2,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:30:02,26.09371,-80.09031,10.9,86.0,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:32:05,26.09346,-80.09635,19.6,267.5,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:34:41,26.09306,-80.11141,13.2,260.9,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:35:47,26.09127,-80.11386,8.9,206.8,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:37:17,26.08759,-80.11418,8.8,172.6,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:38:35,26.08674,-80.11426,7.0,349.4,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:41:17,26.09159,-80.11665,7.6,331.3,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:42:27,26.09395,-80.11764,7.9,337.6,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:43:47,26.09674,-80.11836,7.8,349.2,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:45:06,26.09897,-80.11882,5.8,349.0,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:46:17,26.10082,-80.11911,5.3,352.9,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:47:27,26.10245,-80.11947,3.7,345.7,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:48:38,26.10278,-80.12105,5.1,267.6,511.0,PILOTN0;4,,WDA5463,50.0
495270931,2020-01-01T00:49:58,26.10249,-80.12274,1.3,185.4,511.0,PILOTN0;4,,WDA5463,50.0
