MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType
367151450,2020-01-01T00:00:09,29.36185,-94.77983,0.0,54.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:01:18,29.36185,-94.7798,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:02:28,29.36185,-94.77978,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:03:39,29.36184,-94.77981,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:04:49,29.36183,-94.77978,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:05:59,29.36184,-94.77979,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:07:07,29.36185,-94.77977,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:08:18,29.36185,-94.77979,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:09:19,29.36183,-94.77978,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:10:29,29.36186,-94.77984,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:11:38,29.36182,-94.77981,0.0,85.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:12:47,29.36149,-94.77998,4.7,206.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:13:57,29.35915,-94.78108,9.3,199.9,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:15:08,29.35584,-94.78136,10.6,173.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:16:47,29.35113,-94.78073,10.1,174.4,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:18:07,29.34741,-94.77965,10.4,160.7,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:19:38,29.34339,-94.77784,10.2,150.1,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:20:47,29.34055,-94.77596,10.3,153.8,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
367151450,2020-01-01T00:22:37,29.33515,-94.77556,11.9,191.2,511.0,RAY STOKER; JR,IMO9158719,WDJ3395,60.0
